"","N","#BUGGY","#buggyrate","#bugs"
"JURECZKO-ant-1.5.csv",293,32,0.109215017064846,32
"JURECZKO-ant-1.6.csv",351,92,0.262108262108262,92
"JURECZKO-ant-1.7.csv",745,166,0.222818791946309,166
"JURECZKO-camel-1.2.csv",608,216,0.355263157894737,216
"JURECZKO-camel-1.4.csv",872,145,0.166284403669725,145
"JURECZKO-camel-1.6.csv",965,188,0.194818652849741,188
"JURECZKO-jedit-3.2.csv",272,90,0.330882352941176,90
"JURECZKO-jedit-4.0.csv",306,75,0.245098039215686,75
"JURECZKO-jedit-4.1.csv",312,79,0.253205128205128,79
"JURECZKO-log4j-1.0.csv",135,34,0.251851851851852,34
"JURECZKO-log4j-1.1.csv",109,37,0.339449541284404,37
"JURECZKO-lucene-2.0.csv",195,91,0.466666666666667,91
"JURECZKO-lucene-2.2.csv",247,144,0.582995951417004,144
"JURECZKO-lucene-2.4.csv",340,203,0.597058823529412,203
"JURECZKO-poi-1.5.csv",237,141,0.594936708860759,141
"JURECZKO-poi-2.5.csv",385,248,0.644155844155844,248
"JURECZKO-poi-3.0.csv",442,281,0.635746606334842,281
"JURECZKO-synapse-1.1.csv",222,60,0.27027027027027,60
"JURECZKO-synapse-1.2.csv",256,86,0.3359375,86
"JURECZKO-xalan-2.4.csv",723,110,0.152143845089903,110
"JURECZKO-xalan-2.5.csv",803,387,0.481942714819427,387
"JURECZKO-xalan-2.6.csv",885,411,0.464406779661017,411
"JURECZKO-xerces-1.2.csv",440,71,0.161363636363636,71
"JURECZKO-xerces-1.3.csv",453,69,0.152317880794702,69
