"","N","#BUGGY","#buggyrate","#bugs"
"ant-1.7.csv",1066,166,0.155722326454034,338
"Apache.csv",194,98,0.505154639175258,98
"camel-1.6.csv",1252,188,0.150159744408946,500
"EQ.csv",324,129,0.398148148148148,129
"ivy-2.0.csv",477,40,0.0838574423480084,56
"JDT.csv",997,206,0.206619859578736,206
"jEdit-4.3.csv",1132,11,0.00971731448763251,12
"LC.csv",691,64,0.0926193921852388,64
"log4j-1.2.csv",282,189,0.670212765957447,498
"lucene-2.4.csv",536,203,0.378731343283582,632
"ML.csv",1862,245,0.131578947368421,245
"PDE.csv",1497,209,0.139612558450234,209
"poi-3.0.csv",531,281,0.529190207156309,500
"Safe.csv",56,22,0.392857142857143,22
"synapse-1.2.csv",269,86,0.319702602230483,145
"Tomcat-6.0.csv",1162,77,0.0662650602409639,114
"velocity-1.6.1.csv",261,78,0.298850574712644,190
"xalan-2.7.0.csv",1194,898,0.752093802345059,1213
"xerces-1.4.4.csv",671,437,0.651266766020864,1596
"Zxing.csv",399,118,0.295739348370927,118
